FEMALE,AGE,YRS_CLIMBING,START_AGE,PARENTS,HEIGHT,APEINDEX,WEIGHT,BMI,OCC_STUDY,OCC_PART,OCC_FULL,OCC_BOTH,OCC_NEITHER,C_NA,C_CSA,C_EU,C_AS,C_AF,C_OCE,TRAVEL,VACATIONS,INDOOR,OUTDOOR,INOUTDOOR,SPORT,BOULDER,BOUL_SPORT,OTHERSPORT,WHY_FUN,WHY_HEALTH,WHY_SOCIAL,WHY_COMP,WHY_PLACES,WHY_CHALLENGE,CLIMBDAYS,INDOORDAYS,TRAINDAYS,TRAINPCT,TOTALTRAIN,TRAINLENGTH,TRAIN_NA,TRAIN_COACH,TRAIN_BOOK,TRAIN_SELF,TRAIN_RANDOM,TRAIN_CLIMB,FAC_BOULDER,FAC_LEAD,FAC_TOP,FAC_AUTO,FAC_BOARDS,FAC_MOON,FAC_GYM,IN_NA,IN_OUT,IN_IN,FOCUS_FINGER,FOCUS_FOOT,FOCUS_CORE,FOCUS_END,FOCUS_POW,FOCUS_SEQ,FOCUS_DIFF,FOCUS_CARDIO,FOCUS_FLEX,FOCUS_EXPLO,SHOEFIT,DIET_NO,DIET_FISH,DIET_VEGETARIAN,DIET_VEGAN,DIET_OTHER,PREB_WARM,PREB_EASY,PREB_HARD,PRES_WARM,PRES_EASY,PRES_HARD,PROJ_ONSIGHT,PROJ_HOLDS,PROJ_REST,PROJ_TOP,ROUTEQTY,ATTEMPTS,BESTGO,PROJECTING,B_INFLASH,B_INREDP,B_OUTFLASH,B_OUTREDP,B_FLASHCONF,B_SENDCOF,B_AVG,B_INPOTENTIAL,B_OUTPOTENTIAL,S_FLASH,S_REDP,S_FLASHCONF,S_FINISHCONF,S_AVG,S_FPOTENTIAL,S_MPOTENTIAL,S_INCONSISTENCY
0.0,0.18604651162790697,0.08196721311475409,0.23255813953488372,0.0,0.5172413793103449,0.43478260869565216,0.4411764705882353,0.4757281553398059,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.42857142857142855,0.42857142857142855,0.0,0.375,0.375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.25,0.3333333333333333,0.0,0.36363636363636365,0.5,0.2222222222222222,0.2727272727272727,0.4444444444444444,0.5555555555555556,0.4067796610169491,0.3333333333333333,0.14285714285714285,0.13333333333333333,0.4444444444444444,0.08333333333333333,0.17647058823529413,0.22950819672131148,0.75,0.0,0.2
1.0,0.09302325581395349,0.03278688524590164,0.1744186046511628,0.0,0.22413793103448276,0.7391304347826086,0.23529411764705882,0.43090586262477676,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5714285714285714,0.5714285714285714,0.0,0.8333333333333334,0.625,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.3333333333333333,0.5,0.45454545454545453,0.5833333333333334,0.2222222222222222,0.5454545454545454,0.4444444444444444,0.6666666666666666,0.5084745762711864,0.3333333333333333,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0
0.0,0.11627906976744186,0.11475409836065574,0.13953488372093023,0.0,0.39655172413793105,0.43478260869565216,0.36764705882352944,0.48533633158345363,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.25,0.0,1.0,0.5454545454545454,0.5833333333333334,0.4444444444444444,0.36363636363636365,0.5555555555555556,0.6666666666666666,0.5423728813559321,0.16666666666666666,0.0,0.6,0.6666666666666666,0.6666666666666666,0.7058823529411765,0.6721311475409836,0.375,0.625,0.2
0.0,0.20930232558139536,0.04918032786885246,0.27906976744186046,0.0,0.41379310344827586,0.43478260869565216,0.39705882352941174,0.5203006130011664,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.0,0.125,0.375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.2727272727272727,0.25,0.3333333333333333,0.45454545454545453,0.3333333333333333,0.5555555555555556,0.37288135593220334,0.0,0.2857142857142857,0.06666666666666667,0.16666666666666666,0.08333333333333333,0.11764705882352941,0.11475409836065574,0.25,0.5,0.0
0.0,0.4418604651162791,0.3114754098360656,0.32558139534883723,0.0,0.43103448275862066,0.6521739130434783,0.47058823529411764,0.6375462651079851,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.1,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.2857142857142857,0.2857142857142857,0.0,0.25,0.375,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.06666666666666667,0.5,1.0,1.0,0.6363636363636364,0.75,0.7777777777777778,0.9090909090909091,0.6666666666666666,0.7777777777777778,0.7796610169491526,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.9444444444444444,0.5833333333333334,0.7058823529411765,0.7540983606557377,0.875,0.0,0.6
1.0,0.32558139534883723,0.11475409836065574,0.3488372093023256,0.0,0.3103448275862069,0.21739130434782608,0.19117647058823528,0.23565979789974345,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.3,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.5,0.3333333333333333,0.0,0.45454545454545453,0.5,0.0,0.0,0.4444444444444444,0.5555555555555556,0.33898305084745756,0.16666666666666666,0.0,0.3333333333333333,0.3888888888888889,0.3333333333333333,0.47058823529411764,0.39344262295081966,0.25,0.75,0.2
0.0,0.18604651162790697,0.08196721311475409,0.23255813953488372,0.0,0.603448275862069,0.6521739130434783,0.4117647058823529,0.32825037054898026,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.3,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.2857142857142857,0.2857142857142857,0.0,0.25,0.375,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.13333333333333333,0.5,0.3333333333333333,1.0,0.5454545454545454,0.8333333333333334,0.4444444444444444,0.8181818181818182,0.4444444444444444,0.8888888888888888,0.694915254237288,0.6666666666666666,0.7142857142857143,0.8,0.8888888888888888,0.9166666666666666,1.0,0.9180327868852459,0.5,0.75,0.2
0.0,0.4883720930232558,0.3770491803278688,0.32558139534883723,0.0,0.4827586206896552,0.7391304347826086,0.5147058823529411,0.6512245315696397,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.0,0.4166666666666667,0.625,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.8181818181818182,0.8333333333333334,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.8888888888888888,0.7966101694915253,0.16666666666666666,0.2857142857142857,0.6,0.6666666666666666,0.6666666666666666,0.8235294117647058,0.7049180327868853,0.375,0.875,0.2
0.0,0.16279069767441862,0.04918032786885246,0.23255813953488372,0.0,0.5344827586206896,0.8695652173913043,0.4852941176470588,0.5332826771590541,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.0,0.375,0.375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,0.25,0.3333333333333333,1.0,0.36363636363636365,0.4166666666666667,0.2222222222222222,0.2727272727272727,0.3333333333333333,0.5555555555555556,0.37288135593220334,0.16666666666666666,0.14285714285714285,0.5333333333333333,0.7777777777777778,0.5833333333333334,0.6470588235294118,0.6557377049180327,0.75,0.25,0.2
1.0,0.32558139534883723,0.08196721311475409,0.37209302325581395,0.0,0.22413793103448276,0.43478260869565216,0.22058823529411764,0.39893927041771143,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.15,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.5,0.5,0.0,0.18181818181818182,0.25,0.1111111111111111,0.18181818181818182,0.1111111111111111,0.3333333333333333,0.20338983050847456,0.16666666666666666,0.14285714285714285,0.3333333333333333,0.4444444444444444,0.4166666666666667,0.5294117647058824,0.4426229508196721,0.375,0.75,0.0
